max,min,detection_probability,run
1.000000,0.000000,0.009662,99
2.000000,0.000000,0.091567,99
2.000000,1.000000,0.049275,99
3.000000,0.000000,0.161353,99
3.000000,1.000000,0.303233,99
3.000000,2.000000,0.028986,99
4.000000,0.000000,0.183136,99
4.000000,1.000000,0.451288,99
4.000000,2.000000,0.281056,99
4.000000,3.000000,0.229167,99
5.000000,0.000000,0.330113,99
5.000000,1.000000,0.545651,99
5.000000,2.000000,0.337958,99
5.000000,3.000000,0.572011,99
5.000000,4.000000,0.541408,99
5.000000,5.000000,0.713768,99
6.000000,0.000000,0.711260,99
6.000000,1.000000,0.552724,99
6.000000,2.000000,0.681551,99
6.000000,3.000000,0.519022,99
6.000000,4.000000,0.595060,99
6.000000,5.000000,0.695652,99
6.000000,6.000000,1.000000,99
7.000000,0.000000,0.690432,99
7.000000,1.000000,0.633799,99
7.000000,2.000000,0.712733,99
7.000000,3.000000,0.640019,99
7.000000,4.000000,0.695362,99
7.000000,5.000000,0.697723,99
7.000000,6.000000,0.253623,99
7.000000,7.000000,0.224638,99
8.000000,0.000000,0.798654,99
8.000000,1.000000,0.700234,99
8.000000,2.000000,0.628631,99
8.000000,3.000000,0.650747,99
8.000000,4.000000,0.711850,99
8.000000,5.000000,0.762630,99
8.000000,6.000000,0.649758,99
8.000000,7.000000,0.753623,99
8.000000,8.000000,0.827068,99
9.000000,0.000000,0.948470,99
9.000000,1.000000,0.943604,99
9.000000,2.000000,0.817090,99
9.000000,3.000000,0.840811,99
9.000000,4.000000,0.683491,99
9.000000,5.000000,0.793306,99
9.000000,6.000000,0.523870,99
9.000000,7.000000,0.524513,99
9.000000,8.000000,0.826087,99
9.000000,9.000000,0.844203,99
10.000000,0.000000,1.000000,99
10.000000,1.000000,0.926667,99
10.000000,2.000000,0.878623,99
10.000000,3.000000,0.831565,99
10.000000,4.000000,0.864893,99
10.000000,5.000000,0.818841,99
10.000000,6.000000,0.737379,99
10.000000,7.000000,0.685787,99
10.000000,8.000000,0.641472,99
10.000000,9.000000,0.385507,99
11.000000,0.000000,1.000000,99
11.000000,1.000000,0.903475,99
11.000000,2.000000,0.847121,99
11.000000,3.000000,0.922549,99
11.000000,4.000000,0.852192,99
11.000000,5.000000,0.844510,99
11.000000,6.000000,0.835472,99
11.000000,7.000000,0.843071,99
11.000000,8.000000,0.931884,99
11.000000,9.000000,0.858490,99
11.000000,10.000000,0.927536,99
12.000000,0.000000,1.000000,99
12.000000,1.000000,0.961468,99
12.000000,2.000000,0.925016,99
12.000000,3.000000,0.915615,99
12.000000,4.000000,0.971462,99
12.000000,5.000000,0.902294,99
12.000000,6.000000,0.915890,99
12.000000,7.000000,0.835489,99
12.000000,8.000000,0.821805,99
12.000000,9.000000,0.777778,99
12.000000,10.000000,0.876087,99
12.000000,11.000000,0.647826,99
13.000000,0.000000,1.000000,99
13.000000,1.000000,0.957557,99
13.000000,2.000000,0.996377,99
13.000000,3.000000,0.885768,99
13.000000,4.000000,0.965586,99
13.000000,5.000000,0.978841,99
13.000000,6.000000,0.943878,99
13.000000,7.000000,0.898236,99
13.000000,8.000000,0.801201,99
13.000000,9.000000,0.756441,99
13.000000,10.000000,0.868116,99
13.000000,11.000000,1.000000,99
13.000000,12.000000,0.954106,99
14.000000,0.000000,0.919686,99
14.000000,1.000000,0.946687,99
14.000000,2.000000,0.946565,99
14.000000,3.000000,0.996377,99
14.000000,4.000000,0.934783,99
14.000000,5.000000,0.894424,99
14.000000,6.000000,0.903722,99
14.000000,7.000000,0.949503,99
14.000000,8.000000,0.951648,99
14.000000,9.000000,0.932626,99
14.000000,10.000000,0.995169,99
14.000000,11.000000,0.862319,99
14.000000,12.000000,0.892309,99
14.000000,13.000000,1.000000,99
15.000000,0.000000,0.982609,99
15.000000,1.000000,0.960145,99
15.000000,2.000000,1.000000,99
15.000000,3.000000,0.987319,99
15.000000,4.000000,0.999396,99
15.000000,5.000000,0.958653,99
15.000000,6.000000,0.933783,99
15.000000,7.000000,0.923291,99
15.000000,8.000000,0.878632,99
15.000000,9.000000,0.935185,99
15.000000,10.000000,0.858222,99
15.000000,11.000000,0.932553,99
15.000000,12.000000,0.893958,99
15.000000,13.000000,1.000000,99
16.000000,0.000000,1.000000,99
16.000000,1.000000,1.000000,99
16.000000,2.000000,1.000000,99
16.000000,3.000000,0.975673,99
16.000000,4.000000,1.000000,99
16.000000,5.000000,0.956356,99
16.000000,6.000000,0.918860,99
16.000000,7.000000,0.941641,99
16.000000,8.000000,0.956483,99
16.000000,9.000000,0.963439,99
16.000000,10.000000,0.928815,99
16.000000,11.000000,0.929916,99
16.000000,12.000000,0.995151,99
16.000000,13.000000,0.985507,99
16.000000,14.000000,0.960145,99
17.000000,0.000000,1.000000,99
17.000000,1.000000,0.999597,99
17.000000,2.000000,1.000000,99
17.000000,3.000000,0.999787,99
17.000000,4.000000,0.998885,99
17.000000,5.000000,0.999396,99
17.000000,6.000000,0.913824,99
17.000000,7.000000,0.946636,99
17.000000,8.000000,0.910283,99
17.000000,9.000000,0.937953,99
17.000000,10.000000,0.975973,99
17.000000,11.000000,0.946640,99
17.000000,12.000000,0.929513,99
17.000000,13.000000,0.893720,99
17.000000,14.000000,1.000000,99
17.000000,15.000000,1.000000,99
17.000000,16.000000,0.579710,99
18.000000,0.000000,1.000000,99
18.000000,1.000000,1.000000,99
18.000000,2.000000,1.000000,99
18.000000,3.000000,0.999698,99
18.000000,4.000000,1.000000,99
18.000000,5.000000,0.982042,99
18.000000,6.000000,0.992059,99
18.000000,7.000000,0.996377,99
18.000000,8.000000,0.983302,99
18.000000,9.000000,0.986542,99
18.000000,10.000000,1.000000,99
18.000000,11.000000,0.864295,99
18.000000,12.000000,0.972222,99
18.000000,13.000000,0.879227,99
18.000000,14.000000,0.808489,99
18.000000,15.000000,1.000000,99
18.000000,16.000000,0.989130,99
18.000000,17.000000,1.000000,99
19.000000,0.000000,1.000000,99
19.000000,1.000000,1.000000,99
19.000000,2.000000,1.000000,99
19.000000,3.000000,1.000000,99
19.000000,4.000000,1.000000,99
19.000000,5.000000,0.996494,99
19.000000,6.000000,0.999671,99
19.000000,7.000000,1.000000,99
19.000000,8.000000,0.952496,99
19.000000,9.000000,0.833333,99
19.000000,10.000000,0.996894,99
19.000000,11.000000,0.928986,99
19.000000,12.000000,0.946515,99
19.000000,13.000000,1.000000,99
19.000000,14.000000,1.000000,99
19.000000,15.000000,0.990683,99
19.000000,16.000000,1.000000,99
19.000000,17.000000,1.000000,99
20.000000,0.000000,1.000000,99
20.000000,1.000000,1.000000,99
20.000000,2.000000,1.000000,99
20.000000,3.000000,1.000000,99
20.000000,4.000000,1.000000,99
20.000000,5.000000,1.000000,99
20.000000,6.000000,0.998599,99
20.000000,7.000000,0.998110,99
20.000000,8.000000,1.000000,99
20.000000,9.000000,1.000000,99
20.000000,10.000000,1.000000,99
20.000000,11.000000,0.944627,99
20.000000,12.000000,1.000000,99
20.000000,13.000000,0.923847,99
20.000000,14.000000,0.896947,99
20.000000,15.000000,0.998188,99
20.000000,16.000000,1.000000,99
20.000000,17.000000,1.000000,99
20.000000,18.000000,0.989130,99
20.000000,19.000000,0.985507,99
21.000000,0.000000,1.000000,99
21.000000,1.000000,1.000000,99
21.000000,2.000000,1.000000,99
21.000000,3.000000,1.000000,99
21.000000,4.000000,1.000000,99
21.000000,5.000000,1.000000,99
21.000000,6.000000,1.000000,99
21.000000,7.000000,0.998110,99
21.000000,8.000000,1.000000,99
21.000000,9.000000,0.998792,99
21.000000,10.000000,0.988294,99
21.000000,11.000000,0.910362,99
21.000000,12.000000,0.996377,99
21.000000,13.000000,1.000000,99
21.000000,14.000000,0.993961,99
21.000000,15.000000,0.998188,99
21.000000,16.000000,1.000000,99
21.000000,17.000000,1.000000,99
21.000000,18.000000,1.000000,99
21.000000,19.000000,1.000000,99
22.000000,0.000000,1.000000,99
22.000000,1.000000,1.000000,99
22.000000,2.000000,1.000000,99
22.000000,3.000000,1.000000,99
22.000000,4.000000,1.000000,99
22.000000,5.000000,1.000000,99
22.000000,6.000000,1.000000,99
22.000000,7.000000,0.958169,99
22.000000,8.000000,1.000000,99
22.000000,9.000000,0.966452,99
22.000000,10.000000,1.000000,99
22.000000,11.000000,0.911594,99
22.000000,12.000000,1.000000,99
22.000000,13.000000,0.996377,99
22.000000,14.000000,0.998551,99
22.000000,15.000000,0.972625,99
22.000000,16.000000,1.000000,99
22.000000,17.000000,0.914855,99
22.000000,18.000000,0.921498,99
22.000000,20.000000,1.000000,99
23.000000,0.000000,1.000000,99
23.000000,1.000000,1.000000,99
23.000000,2.000000,1.000000,99
23.000000,3.000000,0.999597,99
23.000000,4.000000,0.998792,99
23.000000,5.000000,1.000000,99
23.000000,6.000000,1.000000,99
23.000000,7.000000,0.990217,99
23.000000,8.000000,0.980491,99
23.000000,9.000000,0.999396,99
23.000000,10.000000,0.975362,99
23.000000,11.000000,1.000000,99
23.000000,12.000000,1.000000,99
23.000000,13.000000,0.918478,99
23.000000,14.000000,1.000000,99
23.000000,15.000000,0.998965,99
23.000000,16.000000,1.000000,99
23.000000,17.000000,0.998551,99
23.000000,18.000000,1.000000,99
23.000000,19.000000,1.000000,99
23.000000,20.000000,0.990942,99
23.000000,21.000000,1.000000,99
24.000000,0.000000,1.000000,99
24.000000,1.000000,1.000000,99
24.000000,2.000000,1.000000,99
24.000000,3.000000,1.000000,99
24.000000,4.000000,1.000000,99
24.000000,5.000000,1.000000,99
24.000000,6.000000,1.000000,99
24.000000,7.000000,1.000000,99
24.000000,8.000000,1.000000,99
24.000000,9.000000,0.984961,99
24.000000,10.000000,0.999195,99
24.000000,11.000000,0.970531,99
24.000000,12.000000,0.998682,99
24.000000,13.000000,0.957428,99
24.000000,14.000000,0.990036,99
24.000000,15.000000,0.991948,99
24.000000,16.000000,0.981061,99
24.000000,17.000000,0.735117,99
24.000000,18.000000,0.923913,99
24.000000,19.000000,1.000000,99
24.000000,20.000000,1.000000,99
24.000000,21.000000,1.000000,99
24.000000,22.000000,1.000000,99
25.000000,1.000000,1.000000,99
25.000000,2.000000,1.000000,99
25.000000,3.000000,1.000000,99
25.000000,4.000000,1.000000,99
25.000000,5.000000,1.000000,99
25.000000,6.000000,1.000000,99
25.000000,7.000000,1.000000,99
25.000000,8.000000,0.997712,99
25.000000,9.000000,1.000000,99
25.000000,10.000000,1.000000,99
25.000000,11.000000,0.991948,99
25.000000,12.000000,0.992754,99
25.000000,13.000000,1.000000,99
25.000000,14.000000,1.000000,99
25.000000,15.000000,1.000000,99
25.000000,16.000000,1.000000,99
25.000000,17.000000,1.000000,99
25.000000,18.000000,0.997080,99
25.000000,19.000000,1.000000,99
25.000000,20.000000,1.000000,99
25.000000,21.000000,1.000000,99
25.000000,22.000000,1.000000,99
26.000000,0.000000,1.000000,99
26.000000,1.000000,1.000000,99
26.000000,2.000000,1.000000,99
26.000000,3.000000,1.000000,99
26.000000,4.000000,1.000000,99
26.000000,5.000000,1.000000,99
26.000000,6.000000,1.000000,99
26.000000,7.000000,1.000000,99
26.000000,8.000000,0.999275,99
26.000000,9.000000,1.000000,99
26.000000,10.000000,1.000000,99
26.000000,11.000000,1.000000,99
26.000000,12.000000,0.996350,99
26.000000,13.000000,0.969807,99
26.000000,14.000000,1.000000,99
26.000000,15.000000,0.976404,99
26.000000,16.000000,0.780193,99
26.000000,17.000000,1.000000,99
26.000000,18.000000,1.000000,99
26.000000,19.000000,1.000000,99
26.000000,20.000000,0.968599,99
26.000000,21.000000,1.000000,99
26.000000,23.000000,1.000000,99
27.000000,0.000000,1.000000,99
27.000000,1.000000,1.000000,99
27.000000,2.000000,1.000000,99
27.000000,3.000000,1.000000,99
27.000000,4.000000,1.000000,99
27.000000,5.000000,1.000000,99
27.000000,6.000000,1.000000,99
27.000000,7.000000,1.000000,99
27.000000,8.000000,1.000000,99
27.000000,9.000000,1.000000,99
27.000000,10.000000,1.000000,99
27.000000,11.000000,0.946055,99
27.000000,12.000000,1.000000,99
27.000000,13.000000,1.000000,99
27.000000,14.000000,1.000000,99
27.000000,15.000000,1.000000,99
27.000000,16.000000,1.000000,99
27.000000,17.000000,1.000000,99
27.000000,18.000000,1.000000,99
27.000000,19.000000,0.918841,99
27.000000,20.000000,1.000000,99
27.000000,21.000000,0.911232,99
27.000000,22.000000,1.000000,99
28.000000,0.000000,1.000000,99
28.000000,1.000000,1.000000,99
28.000000,2.000000,1.000000,99
28.000000,3.000000,1.000000,99
28.000000,4.000000,1.000000,99
28.000000,5.000000,1.000000,99
28.000000,6.000000,1.000000,99
28.000000,7.000000,1.000000,99
28.000000,8.000000,1.000000,99
28.000000,9.000000,1.000000,99
28.000000,10.000000,1.000000,99
28.000000,11.000000,1.000000,99
28.000000,12.000000,0.998682,99
28.000000,13.000000,1.000000,99
28.000000,14.000000,1.000000,99
28.000000,15.000000,1.000000,99
28.000000,16.000000,1.000000,99
28.000000,17.000000,0.996894,99
28.000000,18.000000,0.910145,99
28.000000,19.000000,0.998188,99
28.000000,20.000000,1.000000,99
28.000000,21.000000,1.000000,99
28.000000,22.000000,0.753623,99
28.000000,23.000000,0.875622,99
28.000000,24.000000,1.000000,99
28.000000,25.000000,1.000000,99
29.000000,0.000000,1.000000,99
29.000000,1.000000,1.000000,99
29.000000,2.000000,1.000000,99
29.000000,3.000000,1.000000,99
29.000000,4.000000,1.000000,99
29.000000,5.000000,1.000000,99
29.000000,6.000000,1.000000,99
29.000000,7.000000,1.000000,99
29.000000,8.000000,1.000000,99
29.000000,9.000000,1.000000,99
29.000000,10.000000,1.000000,99
29.000000,11.000000,1.000000,99
29.000000,12.000000,1.000000,99
29.000000,13.000000,0.998792,99
29.000000,14.000000,1.000000,99
29.000000,15.000000,1.000000,99
29.000000,16.000000,0.885870,99
29.000000,17.000000,1.000000,99
29.000000,18.000000,1.000000,99
29.000000,19.000000,1.000000,99
29.000000,21.000000,1.000000,99
29.000000,22.000000,1.000000,99
29.000000,23.000000,0.974638,99
29.000000,24.000000,1.000000,99
29.000000,27.000000,1.000000,99
30.000000,0.000000,1.000000,99
30.000000,1.000000,1.000000,99
30.000000,2.000000,1.000000,99
30.000000,3.000000,1.000000,99
30.000000,4.000000,1.000000,99
30.000000,5.000000,1.000000,99
30.000000,6.000000,1.000000,99
30.000000,7.000000,1.000000,99
30.000000,8.000000,1.000000,99
30.000000,9.000000,1.000000,99
30.000000,10.000000,1.000000,99
30.000000,11.000000,1.000000,99
30.000000,12.000000,1.000000,99
30.000000,13.000000,1.000000,99
30.000000,14.000000,1.000000,99
30.000000,15.000000,1.000000,99
30.000000,16.000000,1.000000,99
30.000000,17.000000,1.000000,99
30.000000,18.000000,1.000000,99
30.000000,19.000000,0.818841,99
30.000000,20.000000,0.990338,99
30.000000,22.000000,1.000000,99
30.000000,23.000000,0.992754,99
30.000000,24.000000,1.000000,99
30.000000,26.000000,1.000000,99
31.000000,0.000000,1.000000,99
31.000000,1.000000,1.000000,99
31.000000,2.000000,1.000000,99
31.000000,3.000000,1.000000,99
31.000000,4.000000,1.000000,99
31.000000,5.000000,1.000000,99
31.000000,6.000000,1.000000,99
31.000000,7.000000,1.000000,99
31.000000,8.000000,1.000000,99
31.000000,9.000000,1.000000,99
31.000000,10.000000,1.000000,99
31.000000,11.000000,1.000000,99
31.000000,12.000000,1.000000,99
31.000000,13.000000,1.000000,99
31.000000,14.000000,1.000000,99
31.000000,15.000000,1.000000,99
31.000000,16.000000,0.978920,99
31.000000,17.000000,1.000000,99
31.000000,18.000000,1.000000,99
31.000000,19.000000,1.000000,99
31.000000,20.000000,1.000000,99
31.000000,21.000000,1.000000,99
31.000000,23.000000,1.000000,99
31.000000,25.000000,1.000000,99
31.000000,27.000000,0.746154,99
31.000000,28.000000,0.992754,99
32.000000,0.000000,1.000000,99
32.000000,1.000000,1.000000,99
32.000000,2.000000,1.000000,99
32.000000,3.000000,1.000000,99
32.000000,4.000000,1.000000,99
32.000000,5.000000,1.000000,99
32.000000,6.000000,1.000000,99
32.000000,7.000000,1.000000,99
32.000000,8.000000,1.000000,99
32.000000,9.000000,1.000000,99
32.000000,10.000000,1.000000,99
32.000000,11.000000,1.000000,99
32.000000,12.000000,1.000000,99
32.000000,13.000000,1.000000,99
32.000000,14.000000,1.000000,99
32.000000,15.000000,1.000000,99
32.000000,16.000000,1.000000,99
32.000000,17.000000,1.000000,99
32.000000,18.000000,0.954106,99
32.000000,19.000000,1.000000,99
32.000000,20.000000,1.000000,99
32.000000,21.000000,1.000000,99
32.000000,22.000000,1.000000,99
32.000000,23.000000,1.000000,99
32.000000,24.000000,1.000000,99
32.000000,25.000000,1.000000,99
32.000000,27.000000,1.000000,99
33.000000,0.000000,1.000000,99
33.000000,1.000000,1.000000,99
33.000000,2.000000,1.000000,99
33.000000,3.000000,1.000000,99
33.000000,4.000000,1.000000,99
33.000000,5.000000,1.000000,99
33.000000,6.000000,1.000000,99
33.000000,7.000000,1.000000,99
33.000000,8.000000,1.000000,99
33.000000,9.000000,1.000000,99
33.000000,10.000000,1.000000,99
33.000000,11.000000,1.000000,99
33.000000,12.000000,1.000000,99
33.000000,13.000000,1.000000,99
33.000000,14.000000,1.000000,99
33.000000,15.000000,1.000000,99
33.000000,16.000000,1.000000,99
33.000000,17.000000,0.993789,99
33.000000,18.000000,1.000000,99
33.000000,19.000000,1.000000,99
33.000000,20.000000,1.000000,99
33.000000,22.000000,1.000000,99
33.000000,24.000000,1.000000,99
33.000000,26.000000,1.000000,99
33.000000,27.000000,0.977612,99
33.000000,28.000000,1.000000,99
33.000000,30.000000,1.000000,99
34.000000,0.000000,1.000000,99
34.000000,1.000000,1.000000,99
34.000000,2.000000,1.000000,99
34.000000,3.000000,1.000000,99
34.000000,4.000000,1.000000,99
34.000000,5.000000,1.000000,99
34.000000,6.000000,1.000000,99
34.000000,7.000000,1.000000,99
34.000000,8.000000,1.000000,99
34.000000,9.000000,1.000000,99
34.000000,10.000000,1.000000,99
34.000000,11.000000,1.000000,99
34.000000,12.000000,1.000000,99
34.000000,13.000000,1.000000,99
34.000000,14.000000,1.000000,99
34.000000,15.000000,1.000000,99
34.000000,16.000000,1.000000,99
34.000000,17.000000,1.000000,99
34.000000,18.000000,1.000000,99
34.000000,19.000000,0.913043,99
34.000000,21.000000,1.000000,99
34.000000,22.000000,1.000000,99
34.000000,23.000000,1.000000,99
34.000000,24.000000,1.000000,99
34.000000,29.000000,1.000000,99
35.000000,0.000000,1.000000,99
35.000000,1.000000,1.000000,99
35.000000,2.000000,1.000000,99
35.000000,3.000000,1.000000,99
35.000000,4.000000,1.000000,99
35.000000,5.000000,1.000000,99
35.000000,6.000000,1.000000,99
35.000000,7.000000,1.000000,99
35.000000,8.000000,1.000000,99
35.000000,9.000000,1.000000,99
35.000000,10.000000,1.000000,99
35.000000,11.000000,1.000000,99
35.000000,12.000000,1.000000,99
35.000000,13.000000,1.000000,99
35.000000,14.000000,1.000000,99
35.000000,15.000000,1.000000,99
35.000000,16.000000,1.000000,99
35.000000,17.000000,1.000000,99
35.000000,18.000000,1.000000,99
35.000000,19.000000,1.000000,99
35.000000,20.000000,1.000000,99
35.000000,21.000000,1.000000,99
35.000000,22.000000,1.000000,99
35.000000,23.000000,1.000000,99
35.000000,24.000000,1.000000,99
35.000000,25.000000,0.978261,99
35.000000,26.000000,1.000000,99
36.000000,1.000000,1.000000,99
36.000000,2.000000,1.000000,99
36.000000,3.000000,1.000000,99
36.000000,4.000000,1.000000,99
36.000000,5.000000,1.000000,99
36.000000,6.000000,1.000000,99
36.000000,7.000000,1.000000,99
36.000000,8.000000,1.000000,99
36.000000,9.000000,1.000000,99
36.000000,10.000000,1.000000,99
36.000000,11.000000,1.000000,99
36.000000,12.000000,1.000000,99
36.000000,13.000000,1.000000,99
36.000000,14.000000,1.000000,99
36.000000,15.000000,1.000000,99
36.000000,16.000000,1.000000,99
36.000000,17.000000,1.000000,99
36.000000,18.000000,1.000000,99
36.000000,19.000000,1.000000,99
36.000000,20.000000,1.000000,99
36.000000,21.000000,1.000000,99
36.000000,22.000000,1.000000,99
36.000000,23.000000,0.961353,99
36.000000,24.000000,1.000000,99
36.000000,25.000000,1.000000,99
36.000000,26.000000,0.626812,99
36.000000,27.000000,0.996377,99
36.000000,28.000000,0.850000,99
36.000000,30.000000,1.000000,99
37.000000,0.000000,1.000000,99
37.000000,1.000000,1.000000,99
37.000000,2.000000,1.000000,99
37.000000,3.000000,1.000000,99
37.000000,4.000000,1.000000,99
37.000000,5.000000,1.000000,99
37.000000,6.000000,1.000000,99
37.000000,7.000000,1.000000,99
37.000000,8.000000,1.000000,99
37.000000,9.000000,1.000000,99
37.000000,10.000000,1.000000,99
37.000000,11.000000,1.000000,99
37.000000,12.000000,1.000000,99
37.000000,13.000000,1.000000,99
37.000000,14.000000,1.000000,99
37.000000,15.000000,1.000000,99
37.000000,16.000000,1.000000,99
37.000000,17.000000,1.000000,99
37.000000,18.000000,1.000000,99
37.000000,19.000000,1.000000,99
37.000000,21.000000,1.000000,99
37.000000,22.000000,1.000000,99
37.000000,23.000000,1.000000,99
37.000000,24.000000,1.000000,99
37.000000,25.000000,1.000000,99
37.000000,34.000000,0.913043,99
38.000000,1.000000,1.000000,99
38.000000,2.000000,1.000000,99
38.000000,3.000000,1.000000,99
38.000000,4.000000,1.000000,99
38.000000,5.000000,1.000000,99
38.000000,6.000000,1.000000,99
38.000000,7.000000,1.000000,99
38.000000,8.000000,1.000000,99
38.000000,9.000000,1.000000,99
38.000000,10.000000,1.000000,99
38.000000,11.000000,1.000000,99
38.000000,12.000000,1.000000,99
38.000000,13.000000,1.000000,99
38.000000,14.000000,1.000000,99
38.000000,15.000000,1.000000,99
38.000000,16.000000,1.000000,99
38.000000,17.000000,1.000000,99
38.000000,19.000000,0.989130,99
38.000000,20.000000,1.000000,99
38.000000,21.000000,1.000000,99
38.000000,24.000000,0.945652,99
38.000000,25.000000,1.000000,99
39.000000,0.000000,1.000000,99
39.000000,1.000000,1.000000,99
39.000000,2.000000,1.000000,99
39.000000,3.000000,1.000000,99
39.000000,4.000000,1.000000,99
39.000000,5.000000,1.000000,99
39.000000,6.000000,1.000000,99
39.000000,7.000000,1.000000,99
39.000000,8.000000,1.000000,99
39.000000,9.000000,1.000000,99
39.000000,10.000000,1.000000,99
39.000000,11.000000,1.000000,99
39.000000,12.000000,1.000000,99
39.000000,13.000000,1.000000,99
39.000000,14.000000,1.000000,99
39.000000,15.000000,1.000000,99
39.000000,16.000000,1.000000,99
39.000000,17.000000,1.000000,99
39.000000,18.000000,1.000000,99
39.000000,20.000000,1.000000,99
39.000000,21.000000,1.000000,99
39.000000,22.000000,1.000000,99
39.000000,24.000000,1.000000,99
39.000000,25.000000,1.000000,99
39.000000,26.000000,1.000000,99
39.000000,28.000000,0.188406,99
39.000000,29.000000,0.586957,99
39.000000,31.000000,1.000000,99
39.000000,32.000000,1.000000,99
39.000000,35.000000,0.942029,99
40.000000,0.000000,1.000000,99
40.000000,1.000000,1.000000,99
40.000000,2.000000,1.000000,99
40.000000,3.000000,1.000000,99
40.000000,4.000000,1.000000,99
40.000000,5.000000,1.000000,99
40.000000,6.000000,1.000000,99
