max,min,detection_probability,run
94.000000,31.000000,1.000000,99
95.000000,2.000000,1.000000,99
95.000000,5.000000,1.000000,99
95.000000,7.000000,1.000000,99
95.000000,8.000000,1.000000,99
95.000000,9.000000,1.000000,99
95.000000,10.000000,1.000000,99
95.000000,11.000000,1.000000,99
95.000000,12.000000,1.000000,99
95.000000,13.000000,1.000000,99
95.000000,16.000000,1.000000,99
95.000000,17.000000,1.000000,99
95.000000,18.000000,1.000000,99
95.000000,20.000000,1.000000,99
95.000000,21.000000,1.000000,99
95.000000,24.000000,1.000000,99
95.000000,25.000000,1.000000,99
95.000000,29.000000,1.000000,99
96.000000,1.000000,1.000000,99
96.000000,2.000000,1.000000,99
96.000000,3.000000,1.000000,99
96.000000,4.000000,1.000000,99
96.000000,5.000000,1.000000,99
96.000000,6.000000,1.000000,99
96.000000,7.000000,1.000000,99
96.000000,8.000000,1.000000,99
96.000000,9.000000,1.000000,99
96.000000,11.000000,1.000000,99
96.000000,12.000000,1.000000,99
96.000000,14.000000,1.000000,99
96.000000,15.000000,1.000000,99
96.000000,16.000000,1.000000,99
96.000000,17.000000,1.000000,99
96.000000,23.000000,1.000000,99
96.000000,28.000000,1.000000,99
96.000000,29.000000,1.000000,99
96.000000,47.000000,1.000000,99
96.000000,65.000000,1.000000,99
97.000000,1.000000,1.000000,99
97.000000,2.000000,1.000000,99
97.000000,3.000000,1.000000,99
97.000000,4.000000,1.000000,99
97.000000,5.000000,1.000000,99
97.000000,6.000000,1.000000,99
97.000000,7.000000,1.000000,99
97.000000,8.000000,1.000000,99
97.000000,9.000000,1.000000,99
97.000000,13.000000,1.000000,99
97.000000,15.000000,1.000000,99
97.000000,16.000000,1.000000,99
97.000000,17.000000,1.000000,99
97.000000,21.000000,1.000000,99
97.000000,24.000000,1.000000,99
97.000000,31.000000,1.000000,99
98.000000,4.000000,1.000000,99
98.000000,5.000000,1.000000,99
98.000000,6.000000,1.000000,99
98.000000,8.000000,1.000000,99
98.000000,9.000000,1.000000,99
98.000000,10.000000,1.000000,99
98.000000,12.000000,1.000000,99
98.000000,15.000000,1.000000,99
98.000000,16.000000,1.000000,99
98.000000,17.000000,1.000000,99
98.000000,20.000000,1.000000,99
98.000000,22.000000,1.000000,99
98.000000,24.000000,1.000000,99
98.000000,27.000000,1.000000,99
98.000000,28.000000,1.000000,99
98.000000,47.000000,1.000000,99
98.000000,59.000000,0.992754,99
98.000000,60.000000,1.000000,99
99.000000,1.000000,1.000000,99
99.000000,2.000000,1.000000,99
99.000000,3.000000,1.000000,99
99.000000,5.000000,1.000000,99
99.000000,8.000000,1.000000,99
99.000000,9.000000,1.000000,99
99.000000,12.000000,1.000000,99
99.000000,13.000000,1.000000,99
99.000000,14.000000,1.000000,99
99.000000,17.000000,1.000000,99
99.000000,18.000000,1.000000,99
99.000000,19.000000,1.000000,99
99.000000,20.000000,1.000000,99
99.000000,21.000000,1.000000,99
99.000000,28.000000,1.000000,99
99.000000,29.000000,1.000000,99
99.000000,35.000000,1.000000,99
99.000000,36.000000,1.000000,99
99.000000,37.000000,1.000000,99
99.000000,69.000000,1.000000,99
100.000000,1.000000,1.000000,99
100.000000,2.000000,1.000000,99
100.000000,3.000000,1.000000,99
100.000000,4.000000,1.000000,99
100.000000,5.000000,1.000000,99
100.000000,6.000000,1.000000,99
100.000000,7.000000,1.000000,99
100.000000,8.000000,1.000000,99
100.000000,10.000000,1.000000,99
100.000000,11.000000,1.000000,99
100.000000,12.000000,1.000000,99
100.000000,14.000000,1.000000,99
100.000000,16.000000,1.000000,99
100.000000,17.000000,1.000000,99
100.000000,18.000000,1.000000,99
100.000000,20.000000,1.000000,99
100.000000,25.000000,1.000000,99
100.000000,28.000000,1.000000,99
100.000000,35.000000,1.000000,99
101.000000,0.000000,1.000000,99
101.000000,1.000000,1.000000,99
101.000000,2.000000,1.000000,99
101.000000,3.000000,1.000000,99
101.000000,4.000000,1.000000,99
101.000000,5.000000,1.000000,99
101.000000,6.000000,1.000000,99
101.000000,7.000000,1.000000,99
101.000000,8.000000,1.000000,99
101.000000,9.000000,1.000000,99
101.000000,10.000000,1.000000,99
101.000000,12.000000,1.000000,99
101.000000,14.000000,1.000000,99
101.000000,17.000000,1.000000,99
101.000000,19.000000,1.000000,99
101.000000,21.000000,1.000000,99
101.000000,30.000000,1.000000,99
101.000000,36.000000,1.000000,99
101.000000,46.000000,1.000000,99
101.000000,60.000000,1.000000,99
102.000000,2.000000,1.000000,99
102.000000,3.000000,1.000000,99
102.000000,4.000000,1.000000,99
102.000000,5.000000,1.000000,99
102.000000,6.000000,1.000000,99
102.000000,8.000000,1.000000,99
102.000000,9.000000,1.000000,99
102.000000,10.000000,1.000000,99
102.000000,11.000000,1.000000,99
102.000000,13.000000,1.000000,99
102.000000,14.000000,1.000000,99
102.000000,17.000000,1.000000,99
102.000000,20.000000,1.000000,99
102.000000,22.000000,1.000000,99
102.000000,23.000000,1.000000,99
102.000000,30.000000,1.000000,99
103.000000,3.000000,1.000000,99
103.000000,4.000000,1.000000,99
103.000000,5.000000,1.000000,99
103.000000,6.000000,1.000000,99
103.000000,7.000000,1.000000,99
103.000000,8.000000,1.000000,99
103.000000,10.000000,1.000000,99
103.000000,11.000000,1.000000,99
103.000000,13.000000,1.000000,99
103.000000,14.000000,1.000000,99
103.000000,15.000000,1.000000,99
103.000000,17.000000,1.000000,99
103.000000,18.000000,1.000000,99
103.000000,19.000000,1.000000,99
103.000000,22.000000,1.000000,99
103.000000,23.000000,1.000000,99
103.000000,25.000000,1.000000,99
103.000000,29.000000,1.000000,99
103.000000,30.000000,1.000000,99
103.000000,34.000000,1.000000,99
103.000000,36.000000,1.000000,99
103.000000,76.000000,1.000000,99
104.000000,3.000000,1.000000,99
104.000000,5.000000,1.000000,99
104.000000,7.000000,1.000000,99
104.000000,8.000000,1.000000,99
104.000000,17.000000,1.000000,99
104.000000,33.000000,1.000000,99
105.000000,1.000000,1.000000,99
105.000000,2.000000,1.000000,99
105.000000,4.000000,1.000000,99
105.000000,5.000000,1.000000,99
105.000000,8.000000,1.000000,99
105.000000,9.000000,1.000000,99
105.000000,10.000000,1.000000,99
105.000000,11.000000,1.000000,99
105.000000,15.000000,1.000000,99
105.000000,19.000000,1.000000,99
105.000000,28.000000,1.000000,99
105.000000,37.000000,1.000000,99
105.000000,68.000000,1.000000,99
105.000000,96.000000,0.536232,99
106.000000,1.000000,1.000000,99
106.000000,2.000000,1.000000,99
106.000000,3.000000,1.000000,99
106.000000,5.000000,1.000000,99
106.000000,6.000000,1.000000,99
106.000000,11.000000,1.000000,99
106.000000,12.000000,1.000000,99
106.000000,13.000000,1.000000,99
106.000000,14.000000,1.000000,99
106.000000,17.000000,1.000000,99
106.000000,18.000000,1.000000,99
107.000000,1.000000,1.000000,99
107.000000,5.000000,1.000000,99
107.000000,7.000000,1.000000,99
107.000000,8.000000,1.000000,99
107.000000,10.000000,1.000000,99
107.000000,14.000000,1.000000,99
107.000000,15.000000,1.000000,99
107.000000,16.000000,1.000000,99
107.000000,17.000000,1.000000,99
107.000000,23.000000,1.000000,99
107.000000,25.000000,1.000000,99
107.000000,32.000000,1.000000,99
107.000000,34.000000,1.000000,99
108.000000,0.000000,1.000000,99
108.000000,2.000000,1.000000,99
108.000000,7.000000,1.000000,99
108.000000,8.000000,1.000000,99
108.000000,9.000000,1.000000,99
108.000000,11.000000,1.000000,99
108.000000,14.000000,1.000000,99
108.000000,15.000000,1.000000,99
108.000000,16.000000,1.000000,99
108.000000,17.000000,1.000000,99
108.000000,18.000000,1.000000,99
108.000000,41.000000,1.000000,99
108.000000,73.000000,1.000000,99
109.000000,1.000000,1.000000,99
109.000000,2.000000,1.000000,99
109.000000,4.000000,1.000000,99
109.000000,5.000000,1.000000,99
109.000000,6.000000,1.000000,99
109.000000,7.000000,1.000000,99
109.000000,8.000000,1.000000,99
109.000000,12.000000,1.000000,99
109.000000,13.000000,1.000000,99
109.000000,14.000000,1.000000,99
109.000000,16.000000,1.000000,99
109.000000,19.000000,1.000000,99
109.000000,20.000000,1.000000,99
109.000000,22.000000,1.000000,99
109.000000,27.000000,1.000000,99
109.000000,28.000000,1.000000,99
109.000000,31.000000,1.000000,99
109.000000,33.000000,1.000000,99
109.000000,38.000000,1.000000,99
109.000000,50.000000,1.000000,99
110.000000,3.000000,1.000000,99
110.000000,6.000000,1.000000,99
110.000000,7.000000,1.000000,99
110.000000,8.000000,1.000000,99
110.000000,9.000000,1.000000,99
110.000000,12.000000,1.000000,99
110.000000,19.000000,1.000000,99
110.000000,24.000000,1.000000,99
110.000000,25.000000,1.000000,99
110.000000,31.000000,1.000000,99
110.000000,34.000000,1.000000,99
110.000000,49.000000,1.000000,99
111.000000,1.000000,1.000000,99
111.000000,2.000000,1.000000,99
111.000000,3.000000,1.000000,99
111.000000,5.000000,1.000000,99
111.000000,8.000000,1.000000,99
111.000000,9.000000,1.000000,99
111.000000,10.000000,1.000000,99
111.000000,18.000000,1.000000,99
111.000000,19.000000,1.000000,99
111.000000,20.000000,1.000000,99
111.000000,21.000000,1.000000,99
111.000000,26.000000,1.000000,99
111.000000,27.000000,1.000000,99
111.000000,29.000000,1.000000,99
111.000000,40.000000,1.000000,99
112.000000,2.000000,1.000000,99
112.000000,4.000000,1.000000,99
112.000000,5.000000,1.000000,99
112.000000,7.000000,1.000000,99
112.000000,8.000000,1.000000,99
112.000000,10.000000,1.000000,99
112.000000,11.000000,1.000000,99
112.000000,13.000000,1.000000,99
112.000000,15.000000,1.000000,99
112.000000,19.000000,1.000000,99
112.000000,26.000000,1.000000,99
112.000000,33.000000,1.000000,99
113.000000,6.000000,1.000000,99
113.000000,9.000000,1.000000,99
113.000000,10.000000,1.000000,99
113.000000,11.000000,1.000000,99
113.000000,12.000000,1.000000,99
113.000000,13.000000,1.000000,99
113.000000,14.000000,1.000000,99
113.000000,16.000000,1.000000,99
113.000000,20.000000,1.000000,99
113.000000,24.000000,1.000000,99
113.000000,31.000000,1.000000,99
113.000000,33.000000,1.000000,99
114.000000,2.000000,1.000000,99
114.000000,6.000000,1.000000,99
114.000000,8.000000,1.000000,99
114.000000,9.000000,1.000000,99
114.000000,13.000000,1.000000,99
114.000000,15.000000,1.000000,99
114.000000,18.000000,1.000000,99
114.000000,38.000000,1.000000,99
114.000000,53.000000,1.000000,99
115.000000,0.000000,1.000000,99
115.000000,3.000000,1.000000,99
115.000000,4.000000,1.000000,99
115.000000,6.000000,1.000000,99
115.000000,9.000000,1.000000,99
115.000000,10.000000,1.000000,99
115.000000,23.000000,1.000000,99
115.000000,25.000000,1.000000,99
115.000000,33.000000,1.000000,99
115.000000,52.000000,1.000000,99
116.000000,2.000000,1.000000,99
116.000000,3.000000,1.000000,99
116.000000,4.000000,1.000000,99
116.000000,5.000000,1.000000,99
116.000000,6.000000,1.000000,99
116.000000,7.000000,1.000000,99
116.000000,8.000000,1.000000,99
116.000000,10.000000,1.000000,99
116.000000,11.000000,1.000000,99
116.000000,12.000000,1.000000,99
116.000000,13.000000,1.000000,99
116.000000,14.000000,1.000000,99
116.000000,15.000000,1.000000,99
116.000000,21.000000,1.000000,99
116.000000,24.000000,1.000000,99
117.000000,3.000000,1.000000,99
117.000000,4.000000,1.000000,99
117.000000,5.000000,1.000000,99
117.000000,8.000000,1.000000,99
117.000000,9.000000,1.000000,99
117.000000,10.000000,1.000000,99
117.000000,11.000000,1.000000,99
117.000000,14.000000,1.000000,99
117.000000,18.000000,1.000000,99
117.000000,19.000000,1.000000,99
117.000000,20.000000,1.000000,99
117.000000,22.000000,1.000000,99
117.000000,23.000000,1.000000,99
117.000000,27.000000,1.000000,99
117.000000,28.000000,1.000000,99
118.000000,1.000000,1.000000,99
118.000000,2.000000,1.000000,99
118.000000,4.000000,1.000000,99
118.000000,6.000000,1.000000,99
118.000000,7.000000,1.000000,99
118.000000,8.000000,1.000000,99
118.000000,15.000000,1.000000,99
118.000000,17.000000,1.000000,99
118.000000,18.000000,1.000000,99
118.000000,20.000000,1.000000,99
118.000000,21.000000,1.000000,99
118.000000,22.000000,1.000000,99
119.000000,6.000000,1.000000,99
119.000000,7.000000,1.000000,99
119.000000,9.000000,1.000000,99
119.000000,11.000000,1.000000,99
119.000000,12.000000,1.000000,99
119.000000,28.000000,1.000000,99
119.000000,29.000000,1.000000,99
119.000000,40.000000,1.000000,99
119.000000,64.000000,1.000000,99
120.000000,1.000000,1.000000,99
120.000000,2.000000,1.000000,99
120.000000,6.000000,1.000000,99
120.000000,8.000000,1.000000,99
120.000000,11.000000,1.000000,99
120.000000,13.000000,1.000000,99
120.000000,15.000000,1.000000,99
120.000000,16.000000,1.000000,99
120.000000,17.000000,1.000000,99
120.000000,18.000000,1.000000,99
120.000000,23.000000,1.000000,99
120.000000,24.000000,1.000000,99
120.000000,39.000000,1.000000,99
121.000000,1.000000,1.000000,99
121.000000,5.000000,1.000000,99
121.000000,6.000000,1.000000,99
121.000000,7.000000,1.000000,99
121.000000,11.000000,1.000000,99
121.000000,14.000000,1.000000,99
121.000000,18.000000,1.000000,99
121.000000,19.000000,1.000000,99
122.000000,3.000000,1.000000,99
122.000000,6.000000,1.000000,99
122.000000,8.000000,1.000000,99
122.000000,9.000000,1.000000,99
122.000000,12.000000,1.000000,99
122.000000,15.000000,1.000000,99
122.000000,18.000000,1.000000,99
122.000000,21.000000,1.000000,99
122.000000,30.000000,1.000000,99
122.000000,33.000000,1.000000,99
123.000000,2.000000,1.000000,99
123.000000,5.000000,1.000000,99
123.000000,9.000000,1.000000,99
123.000000,11.000000,1.000000,99
123.000000,13.000000,1.000000,99
123.000000,24.000000,1.000000,99
123.000000,27.000000,1.000000,99
123.000000,32.000000,1.000000,99
123.000000,42.000000,1.000000,99
124.000000,8.000000,1.000000,99
124.000000,9.000000,1.000000,99
124.000000,18.000000,1.000000,99
124.000000,19.000000,1.000000,99
124.000000,23.000000,1.000000,99
124.000000,29.000000,1.000000,99
125.000000,4.000000,1.000000,99
125.000000,8.000000,1.000000,99
125.000000,11.000000,1.000000,99
125.000000,13.000000,1.000000,99
125.000000,14.000000,1.000000,99
125.000000,18.000000,1.000000,99
125.000000,21.000000,1.000000,99
126.000000,11.000000,1.000000,99
126.000000,12.000000,1.000000,99
126.000000,13.000000,1.000000,99
126.000000,19.000000,1.000000,99
127.000000,4.000000,1.000000,99
127.000000,5.000000,1.000000,99
127.000000,6.000000,1.000000,99
127.000000,8.000000,1.000000,99
127.000000,9.000000,1.000000,99
127.000000,11.000000,1.000000,99
127.000000,16.000000,1.000000,99
127.000000,18.000000,1.000000,99
127.000000,19.000000,1.000000,99
127.000000,24.000000,1.000000,99
127.000000,25.000000,1.000000,99
127.000000,34.000000,1.000000,99
127.000000,48.000000,1.000000,99
128.000000,5.000000,1.000000,99
128.000000,11.000000,1.000000,99
128.000000,12.000000,1.000000,99
128.000000,13.000000,1.000000,99
128.000000,29.000000,1.000000,99
129.000000,4.000000,1.000000,99
129.000000,8.000000,1.000000,99
129.000000,9.000000,1.000000,99
129.000000,11.000000,1.000000,99
129.000000,13.000000,1.000000,99
129.000000,15.000000,1.000000,99
130.000000,3.000000,1.000000,99
130.000000,6.000000,1.000000,99
130.000000,7.000000,1.000000,99
130.000000,8.000000,1.000000,99
130.000000,11.000000,1.000000,99
130.000000,14.000000,1.000000,99
130.000000,16.000000,1.000000,99
130.000000,18.000000,1.000000,99
130.000000,22.000000,1.000000,99
130.000000,25.000000,1.000000,99
130.000000,28.000000,1.000000,99
130.000000,38.000000,1.000000,99
131.000000,4.000000,1.000000,99
131.000000,7.000000,1.000000,99
131.000000,8.000000,1.000000,99
131.000000,10.000000,1.000000,99
131.000000,12.000000,1.000000,99
131.000000,16.000000,1.000000,99
131.000000,17.000000,1.000000,99
132.000000,1.000000,1.000000,99
132.000000,3.000000,1.000000,99
132.000000,6.000000,1.000000,99
132.000000,9.000000,1.000000,99
132.000000,11.000000,1.000000,99
132.000000,12.000000,1.000000,99
132.000000,20.000000,1.000000,99
132.000000,26.000000,1.000000,99
132.000000,81.000000,1.000000,99
133.000000,1.000000,1.000000,99
133.000000,8.000000,1.000000,99
133.000000,9.000000,1.000000,99
133.000000,12.000000,1.000000,99
133.000000,15.000000,1.000000,99
133.000000,17.000000,1.000000,99
133.000000,23.000000,1.000000,99
133.000000,28.000000,1.000000,99
133.000000,37.000000,1.000000,99
134.000000,4.000000,1.000000,99
134.000000,5.000000,1.000000,99
134.000000,6.000000,1.000000,99
134.000000,7.000000,1.000000,99
134.000000,8.000000,1.000000,99
134.000000,9.000000,1.000000,99
134.000000,12.000000,1.000000,99
134.000000,13.000000,1.000000,99
134.000000,15.000000,1.000000,99
134.000000,23.000000,1.000000,99
134.000000,30.000000,1.000000,99
135.000000,7.000000,1.000000,99
135.000000,8.000000,1.000000,99
135.000000,10.000000,1.000000,99
136.000000,5.000000,1.000000,99
136.000000,9.000000,1.000000,99
136.000000,11.000000,1.000000,99
136.000000,13.000000,1.000000,99
137.000000,4.000000,1.000000,99
137.000000,10.000000,1.000000,99
137.000000,29.000000,1.000000,99
138.000000,4.000000,1.000000,99
138.000000,9.000000,1.000000,99
138.000000,12.000000,1.000000,99
138.000000,13.000000,1.000000,99
138.000000,14.000000,1.000000,99
138.000000,15.000000,1.000000,99
138.000000,16.000000,1.000000,99
138.000000,22.000000,1.000000,99
138.000000,29.000000,1.000000,99
138.000000,41.000000,1.000000,99
139.000000,6.000000,1.000000,99
139.000000,10.000000,1.000000,99
139.000000,17.000000,1.000000,99
139.000000,30.000000,1.000000,99
140.000000,6.000000,1.000000,99
140.000000,8.000000,1.000000,99
140.000000,16.000000,1.000000,99
140.000000,17.000000,1.000000,99
140.000000,23.000000,1.000000,99
141.000000,3.000000,1.000000,99
141.000000,5.000000,1.000000,99
141.000000,7.000000,1.000000,99
141.000000,8.000000,1.000000,99
141.000000,9.000000,1.000000,99
141.000000,12.000000,1.000000,99
141.000000,22.000000,1.000000,99
141.000000,23.000000,1.000000,99
141.000000,25.000000,1.000000,99
141.000000,30.000000,1.000000,99
142.000000,6.000000,1.000000,99
142.000000,17.000000,1.000000,99
142.000000,18.000000,1.000000,99
142.000000,29.000000,1.000000,99
143.000000,8.000000,1.000000,99
143.000000,11.000000,1.000000,99
143.000000,13.000000,1.000000,99
143.000000,15.000000,1.000000,99
143.000000,46.000000,1.000000,99
143.000000,48.000000,1.000000,99
144.000000,4.000000,1.000000,99
144.000000,6.000000,1.000000,99
144.000000,7.000000,1.000000,99
144.000000,10.000000,1.000000,99
144.000000,13.000000,1.000000,99
144.000000,15.000000,1.000000,99
144.000000,18.000000,1.000000,99
144.000000,20.000000,1.000000,99
144.000000,33.000000,1.000000,99
145.000000,6.000000,1.000000,99
145.000000,7.000000,1.000000,99
145.000000,13.000000,1.000000,99
145.000000,21.000000,1.000000,99
145.000000,22.000000,1.000000,99
146.000000,3.000000,1.000000,99
146.000000,4.000000,1.000000,99
146.000000,5.000000,1.000000,99
146.000000,9.000000,1.000000,99
146.000000,11.000000,1.000000,99
146.000000,12.000000,1.000000,99
146.000000,14.000000,1.000000,99
146.000000,22.000000,1.000000,99
147.000000,4.000000,1.000000,99
147.000000,5.000000,1.000000,99
147.000000,6.000000,1.000000,99
147.000000,9.000000,1.000000,99
147.000000,13.000000,1.000000,99
147.000000,15.000000,1.000000,99
147.000000,27.000000,1.000000,99
147.000000,34.000000,1.000000,99
148.000000,1.000000,1.000000,99
148.000000,6.000000,1.000000,99
148.000000,14.000000,1.000000,99
148.000000,25.000000,1.000000,99
149.000000,18.000000,1.000000,99
149.000000,21.000000,1.000000,99
149.000000,23.000000,1.000000,99
150.000000,7.000000,1.000000,99
150.000000,11.000000,1.000000,99
150.000000,12.000000,1.000000,99
150.000000,24.000000,1.000000,99
151.000000,2.000000,1.000000,99
151.000000,7.000000,1.000000,99
151.000000,8.000000,1.000000,99
151.000000,10.000000,1.000000,99
151.000000,18.000000,1.000000,99
151.000000,22.000000,1.000000,99
151.000000,25.000000,1.000000,99
151.000000,45.000000,1.000000,99
152.000000,6.000000,1.000000,99
152.000000,11.000000,1.000000,99
152.000000,14.000000,1.000000,99
152.000000,16.000000,1.000000,99
152.000000,28.000000,1.000000,99
153.000000,2.000000,1.000000,99
153.000000,10.000000,1.000000,99
153.000000,11.000000,1.000000,99
153.000000,17.000000,1.000000,99
153.000000,25.000000,1.000000,99
154.000000,8.000000,1.000000,99
154.000000,9.000000,1.000000,99
155.000000,11.000000,1.000000,99
155.000000,21.000000,1.000000,99
155.000000,30.000000,1.000000,99
156.000000,21.000000,1.000000,99
157.000000,7.000000,1.000000,99
157.000000,9.000000,1.000000,99
157.000000,12.000000,1.000000,99
157.000000,14.000000,1.000000,99
157.000000,26.000000,1.000000,99
158.000000,22.000000,1.000000,99
159.000000,9.000000,1.000000,99
159.000000,21.000000,1.000000,99
159.000000,34.000000,1.000000,99
160.000000,9.000000,1.000000,99
161.000000,11.000000,1.000000,99
162.000000,19.000000,1.000000,99
162.000000,25.000000,1.000000,99
164.000000,4.000000,1.000000,99
167.000000,33.000000,1.000000,99
168.000000,13.000000,1.000000,99
168.000000,14.000000,1.000000,99
169.000000,3.000000,1.000000,99
171.000000,2.000000,1.000000,99
175.000000,12.000000,1.000000,99
176.000000,10.000000,1.000000,99
177.000000,22.000000,1.000000,99
179.000000,26.000000,1.000000,99
181.000000,7.000000,1.000000,99
181.000000,30.000000,1.000000,99
181.000000,31.000000,1.000000,99
182.000000,13.000000,1.000000,99
184.000000,15.000000,1.000000,99
185.000000,6.000000,1.000000,99
185.000000,13.000000,1.000000,99
185.000000,17.000000,1.000000,99
185.000000,18.000000,1.000000,99
185.000000,20.000000,1.000000,99
186.000000,8.000000,1.000000,99
186.000000,17.000000,1.000000,99
186.000000,30.000000,1.000000,99
187.000000,12.000000,1.000000,99
187.000000,16.000000,1.000000,99
188.000000,11.000000,1.000000,99
188.000000,18.000000,1.000000,99
189.000000,25.000000,1.000000,99
190.000000,2.000000,1.000000,99
190.000000,6.000000,1.000000,99
190.000000,7.000000,1.000000,99
190.000000,13.000000,1.000000,99
190.000000,14.000000,1.000000,99
190.000000,16.000000,1.000000,99
194.000000,12.000000,1.000000,99
194.000000,16.000000,1.000000,99
195.000000,9.000000,1.000000,99
195.000000,16.000000,1.000000,99
200.000000,22.000000,1.000000,99
230.000000,50.000000,1.000000,99
233.000000,48.000000,1.000000,99
236.000000,4.000000,1.000000,99
236.000000,48.000000,1.000000,99
237.000000,17.000000,1.000000,99
